LCVP_Taxon,Common_Name
Lagerstroemia indica L. ,Crape myrtle
Lagerstroemia speciosa (L.) Pers. ,Queen's crape myrtle
Lannea coromandelica (Houtt.) Merr. ,Indian ash tree
Larix kaempferi (Lamb.) Carrière ,Japanese larch
Lepisanthes tetraphylla Radlk. ,
Leucaena leucocephala (Lam.) DeWit ,White leadtree
Licania hypoleuca Benth. ,
Ligustrum lucidum W.T.Aiton ,Chinese privet/ Glossy privet
Lindackeria laurina C.Presl ,Carbonero
Lindera kwangtungensis (H.Liu) C.K.Allen ,
Liquidambar formosana Hance ,Formosa sweet gum
Liquidambar styraciflua L. ,sweet gum
Liriodendron tulipifera L. ,yellow poplar
Lithocarpus glaber (Thunb.) Nakai ,Japanese oak
Lithocarpus longipedicellatus (Hickel & A.Camus) A.Camus ,
Luehea alternifolia (Mill.) Mabb. ,
Luehea candida (Sessé & Moc. ex DC.) Mart. ,
Lysiloma latisiliqua (L.) Benth. ,False Tamarind
Machilus thunbergii Siebold & Zucc. ,Japanese bay tree
Maclura tinctoria (L.) D.Don ex Steud. ,Cubanwood
Magnolia champaca (L.) Baill. ex Pierre ,Champak
Magnolia grandiflora (L.) L. ,Southern magnolia
Magnolia obovata Thunb. ,Japanese bigleaf magnolia
Magnolia virginiana L. ,Sweetbay 
Mangifera indica L. ,Mango
Manilkara bidentata (A.DC.) A.Chev. ,Balata
Manilkara hexandra (Roxb.) Dubard ,Ceylon Iron Wood
Manilkara zapota (L.) P.Royen ,Sapodilla
Maranthes panamensis (Standl.) Prance & F.White ,
Matayba domingensis (DC.) Radlk. ,Negra Lora
Melaleuca quinquenervia (Cav.) S.T.Blake ,Broad-leaved paperbark
Melia azedarach L. ,Chinaberry tree
Melicoccus bijugatus Jacq. ,Quenepa
Meliosma angustifolia Merr. ,
Metasequoia glyptostroboides Hu & W.C.Cheng ,Dawn Redwood
Miconia elata (Sw.) DC. ,
Miconia tetrandra (Sw.) D.Don ex G.Don ,
Micromelum minutum (G.Forst.) Wight & Arn. ,Limeberry
Mitragyna parvifolia (Roxb.) Korth. ,Kaim
Morella cerifera (L.) Small ,Southern bayberry/ southern wax myrtle
Morinda citrifolia L. ,Indian mulberry
Morisonia flexuosa L. ,Limber Caper
Morus rubra L. ,Red Mulberry
Myrcia deflexa (Poir.) DC. ,
Myrcia schiedeana (O.Berg) A.R. Lourenço & E. Sánchez-Chávez ,
Myristica globosa Warb. ,Queensland Nutmeg
Myrsine seguinii H.Lév. ,Myrsine
